,Number_Episode,Dates,Detectives,Title,Place,Links,Ratings,Ratingcounts,TV_stations,Amount_actors,Story,Director,Script,Camera,Story_words_amount,Story_len,Amount_Director,Amount_Script,Amount_Camera,Viewers_absolute,Viewers_%,Ranking,Ranking_after_1990,Ranking_city,Ranking_city_after_1990,Actors,Year,Month,Day,Ratings_simple
0,1102,2019-08-09,Odenthal/Stern,Maleficius,Ludwigshafen,https://www.tatort-blog.de/folgen/tatort-ludwigshafen/maleficius/,2.8,19.0,SWR,13,"Ein Rollstuhl steht am Ufer des Rheins. Sein Besitzer ist verschwunden, nur eine Brieftasche ist zurückgeblieben. Ein Suizid? Ein tragischer Unfall? Oder doch ein Verbrechen? Lena Odenthal und Johanna Stern recherchieren die Krankengeschichte des Verschwundenen und stellen fest: Alles spricht für Suizid. Doch dann wird die Leiche einer Ärztin gefunden. Sie arbeitete in der Hirnforschung, wo Menschen mit Handicap mit Hilfe von Gehirnstimulation Bewegungsfähigkeit zurückgewinnen sollen und auch der verschwundene Rollstuhlfahrer Hilfe gesucht hatte. Lena und Johanna fragen sich, ob der selbstbewusste, nobelpreisverdächtige Chef der Assistenzärztin in ihren Fall verwickelt ist. Der behandelt nicht nur Lähmungen, sondern hegt hochfliegende Pläne von der Verschmelzung des menschlichen Gehirns mit künstlicher Intelligenz. Bei Lena Odenthal aber wachsen die Zweifel an seiner Glaubwürdigkeit... Die Möglichkeiten der Gehirnstimulation und der Ehrgeiz neuronaler Forschung beschäftigen Autor und Regisseur Tom Bohn in seinem Tatort ""Maleficius"". Sebastian Bezzel spielt darin einen Forscher, für den in seiner eindrucksvollen klinischen Welt alles möglich scheint. ",Thomas Bohn,Thomas Bohn,Cornelia Janssen,155,1168,1,1,1,,,,,,,"['Ulrike Folkerts', 'Lisa Bitter', 'Kailas Mahadevan', 'Dominique Chiout', 'Tim Ricke', 'Igor Tjumenzev', 'Peter Espeloer', 'Jana Voosen', 'Sebastian Bezzel', 'Gregor Bloéb', 'Heinz Hoenig', 'Max Tidof', 'Annalena Schmidt', nan, nan, nan, nan, nan, nan, nan]",2019,08,09,28
1,1101,2019-01-09,Brix/Janneke,Falscher Hase,Frankfurt,https://www.tatort-blog.de/folgen/tatort-frankfurt/falscher-hase/,3.6,50.0,HR,10,"Die Lohmann Solar Technology GmbH steht kurz vor der Pleite. In ihrer Verzweiflung versuchen sich Hajo Lohmann (Peter Trabner) und seine Frau Biggi (Katharina Marie Schubert) an einem Versicherungsbetrug und inszenieren einen Raubüberfall. Als sie hierbei jedoch von einem Security-Mann überrascht werden, greift Biggi zur Waffe und erschießt den Mann mit einem gezielten Schuss zwischen die Augen. Brix und Janneke stehen vor einem Rätsel: Wer beklaut eine kleine, mittelständische Firma? Sind es Profis, die hier am Werk sind? Und welcher Meisterschütze war für den Mord an dem Security-Mann verantwortlich? Während Brix (Wolfram Koch) und Janneke (Margarita Broich) ermitteln, wird die Sache für Hajo und Biggi zunehmend komplizierter: Überfordert mit der Umsetzung ihres Plans und der Vertuschung ihres Verbrechens, stellen sich ihnen auch noch Möchtegerngangster in den Weg, die ihnen das Versicherungsgeld abknöpfen wollen. Als die Möchtegerngangster dann auch noch mit echten Gangstern in Kontakt kommen, versuchen sich alle gegenseitig übers Ohr zu hauen, ohne dass irgendjemand wirklich den Überblick behält. Als Biggis Versicherung obendrein die Zahlung verweigert, versucht sie verzweifelt, zu retten, was zu retten ist – und versinkt langsam aber sicher in ihrer selbstverschuldeten Misere... ",Emily Atef,"Emily Atef, Lars Hubrich",Armin Dierolf,187,1305,1,2,1,,,,,,,"['Wolfram Koch', 'Margarita Broich', 'Roland Kukulies', 'Johanna Wokalek', 'Godehard Giese', 'Friedrich Mücke', 'Katharina-Marie Schubert', 'Isaak Dentler', 'Werner Wölbern', 'Peter Trabner', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",2019,01,09,36
2,1100,2019-08-18,Gorniak/Winkler,Nemesis,Dresden,https://www.tatort-blog.de/folgen/tatort-dresden/nemesis/,3.5,73.0,MDR,12,"Der bekannte Dresdner Szenegastronom Joachim Benda wird erschossen in seinem Restaurant aufgefunden. Für die Ermittlerinnen Karin Gorniak und Leonie Winkler weist einiges darauf hin, dass Benda um Schutzgelder erpresst wurde. Bendas Ehefrau Katharina berichtet, dass die Familie zu Hause von maskierten Männern überfallen und bedroht wurde. Die Polizei kann eine der Kugeln vom Tatort mit einer Waffe in Verbindung bringen, die bereits bei einem Mord im Rotlichtmilieu benutzt wurde. Vor allem für Kommissariatsleiter Schnabel, der Benda kannte und schätzte und der den tragischen Mordfall schnell aufklären möchte, ist die Sache damit klar. Doch als die Aussage eines verdeckten Ermittlers an Bendas Mafiaverbindungen zweifeln lässt, rückt Katharina Benda wieder in den Fokus der Ermittlungen. Die Kommissarinnen finden heraus, dass Benda seine Frau in die Psychiatrie einweisen lassen wollte. Doch ihr Alibi für die Tatnacht ist lückenlos. Um die Wahrheit ans Licht zu bringen, suchen Gorniak und Winkler Zugang zu Viktor Benda, dem älteren Sohn des Ehepaars, der durch seine Mutter jedoch immer mehr unter Druck gesetzt wird... ",Stephan Wagner,"Mark Monheim, Stephan Wagner",Hendrik A. Kley,167,1131,1,2,1,,,,,,,"['Martin Brambach', 'Cornelia Gröschel', 'Karin Hanczewski', 'Uwe Preuss', 'Peter Trabner', 'Atheer Adel', 'Leon Ullrich', 'Caspar Hoffmann', 'Britta Hammelstein', 'Juri Winkler', 'Marko Dyrlich', 'Thomas Stecher', nan, nan, nan, nan, nan, nan, nan, nan]",2019,08,18,35
3,1099,2019-06-16,Flückiger/Ritschard,Ausgezählt,Luzern,https://www.tatort-blog.de/folgen/tatort-luzern/ausgezaehlt/,3.3,25.0,SRF,8,"Als ihre Gegnerin im Ring einen Herzinfarkt erleidet, ist das für die Boxerin Martina Oberholzer Anlass, sofort mit dem Dopen aufzuhören. Außerdem will sie der Presse alles berichten, was sie an Hintergründen über die Dopingszene weiß. Um sie davon abzuhalten, sperrt ihr korrupter Manager Sven Brügger Martina in einen Luftschutz-Keller. Kurz darauf wird Brügger erschossen. Am Tatort stoßen die Ermittler Reto Flückiger und Liz Ritschard nicht nur auf den toten Boxmanager, sondern auch auf Heinz Oberholzer, der den Mord sofort gesteht: Heinz ist Ex-Polizist und Martinas Onkel. Er hat Brügger im Streit erschossen, als er aus ihm den Aufenthaltsort der entführten Boxerin herauspressen wollte. Der Mordfall ist also schnell geklärt. Doch was wird nun aus Martina? Wie sollen Flückiger und Ritschard die Entführte finden? Nun, da Brügger tot ist, scheint niemand zu wissen, wo sie eingesperrt ist. Verschärft wird die Situation durch den verzweifelten Hinweis von Ferdi Oberholzer, Martinas Vater und gleichzeitig ihr Trainer: Aufgrund des Dopings leidet seine Tochter an erhöhtem Flüssigkeitsverlust. Maximal zwei Tage, dann wird sie verdurstet sein, wenn sie nichts zu trinken bekommt. Die Zeit drängt und der geständige Mörder Heinz Oberholzer hat einen Plan: Er will in das Gefängnis überstellt werden, in dem Pius Küng einsitzt. Küng ist der skrupellose Drahtzieher des Dopingrings. Einzig er könnte Martinas Aufenthaltsort kennen. Doch der Plan ist hochriskant: Als ehemaliger Polizist wird Heinz im Gefängnis auf Rache seiner ehemaligen Klientel gefasst sein müssen. Dennoch setzt sich Liz für das Vorhaben ein – sogar über die Grenzen der Legalität hinweg. Sie kennt Heinz aus den Anfängen ihrer Polizeilaufbahn: Er war einst ihr Ausbilder, und sie scheint ihm blind zu vertrauen – was Flückiger zunehmend irritiert. Ein seltener Konflikt bahnt sich darüber zwischen den Ermittlern an - in ihrem zweitletzten gemeinsamen Fall... ",Katalin Gödrös,"Urs Bühler, Michael Herzig",Jutta Pohlmann ,292,1940,1,2,1,7.0,23.4,653.0,451.0,6.0,6.0,"['Delia Mayer', 'Stefan Gubser', 'Jean-Pierre Cornu', 'Fabienne Hadorn', 'Pit-Arne Pietz', 'Ingo Ospelt', 'Peter Jecklin', 'Tabea Buser', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",2019,06,16,33
4,1098,2019-10-06,Ballauf/Schenk,Kaputt,Köln,https://www.tatort-blog.de/folgen/tatort-koeln/kaputt/,3.3,40.0,WDR,16,"Eigentlich sollten die Polizisten Melanie Sommer und Frank Schneider bei einer lauten Feier in einem Wohnhaus nur für Ruhe sorgen. Doch wenig später wird die junge Kriminalbeamtin verletzt und traumatisiert im Garten des Hauses aufgefunden. Ihr Kollege wurde so brutal zusammengeschlagen, dass für ihn jede Hilfe zu spät kommt. Der Polizistenmord sorgt nicht nur im Präsidium und in der Presse für Aufregung. Auch Frank Schneiders Lebensgefährte Stefan Pohl kann den Verlust nicht fassen: Die beiden hatten sich im Dienst kennengelernt. Die Beziehung sah der Dienststellenleiter Bernd Schäfer nicht gern. Auch, dass die Mordkommission jetzt die eigenen Leute überprüft, passt ihm gar nicht... ",Christine Hartmann,"Rainer Butt, Christine Hartmann",Peter Nix ,103,693,1,2,1,9.29,29.2,270.0,71.0,15.0,8.0,"['Klaus J. Behrendt', 'Dietmar Bär', 'Friederike Bellstedt', 'Luke Neite', 'Marc Fischer', 'Thomas Goritzki', 'Heidi Ecks', 'Artus Maria Matthiessen', 'Hauke Diekamp', 'Svenja Jung', 'Max Simonischek', 'Anna Brüggemann', 'Götz Schubert', 'Ronny Miersch', 'Caroline Hanke', 'Roland Riebeling', nan, nan, nan, nan]",2019,10,06,33
5,1097,2019-02-06,Eisner/Fellner,Glück allein,Wien,https://www.tatort-blog.de/folgen/tatort-wien/glueck-allein/,3.4,83.0,ORF,17,"Für Moritz Eisner und Bibi Fellner ist es nicht ungewöhnlich, an übergeordneter Stelle anzuecken. Dass sie der Innenminister persönlich von einem Fall fernhalten möchte, spornt die beiden erst recht an: Sie überhören einfach die Anweisung ihres Chefs Ernst Rauter und fahren zum Haus des Politikers Raoul Ladurner (Cornelius Obonya), in dem sich ein Blutbad abgespielt hat. Für dessen Frau kommt jede Hilfe zu spät, die zehnjährige Tochter liegt schwerverletzt im künstlichen Koma. Kommissarin Julia Soraperra (Gerti Drassl), die auf Geheiß des Ministers den Fall aufklären soll, erscheint Eisner und Fellner ebenso überfordert wie befangen. Die Spuren deuten nicht nur auf einen missglückten Einbruch hin, eine Rolle scheint auch Ladurners Untersuchungsausschuss gegen eine ukrainische Geschäftsfrau (Dorka Gryllus) zu spielen. Eisners Intuition lässt ihn jedoch an der Glaubwürdigkeit des selbsternannten Saubermanns zweifeln. Als er und „Bibi“ erfahren, dass sich Ladurners erste Tochter vor Jahren das Leben genommen hat, erhalten die Ermittler überraschende Einblicke in die zerrütteten Familienverhältnisse. Das wahre Ausmaß der Tragödie, die sich für Bibi und Moritz im Lauf ihrer Ermittlungen auftut, übersteigt jedoch jede Vorstellung. Um die Wahrheit aufzudecken, müssen sie nicht nur kühlen Kopf bewahren, sondern sich auch gegen wachsenden politischen Druck behaupten... ",Catalina Molina,Uli Brée,Klemens Hufnagl ,195,1383,1,1,1,7.42,26.1,409.0,207.0,27.0,,"['Adele Neuhauser', 'Harald Krassnitzer', 'Michael Edlinger', 'Michaela Mock', 'Emil de Cillia', 'Namiya Ettl', 'Christian Dobler', 'Marie Kristin Ettl', 'Markus Hamele', 'Günter Franzmeier', 'Hubert Kramar', 'Thomas Stipsits', 'Gerti Drassl', 'Cornelius Obonya', 'Magdalena Kronschläger', 'Dorka Gryllus', 'Dieter Egermann', nan, nan, nan]",2019,02,06,34
6,1096,2019-05-26,Batic/Leitmayr,Die ewige Welle,München,https://www.tatort-blog.de/folgen/tatort-muenchen/die-ewige-welle/,2.4,48.0,BR,15,"Nach einer nächtlichen Surfsession an der Welle im Münchner Eisbach wird Mikesch (Andreas Lust) Opfer einer Messerattacke. Er überlebt schwer verletzt. Mikesch war Anfang der 80er Jahre ein enger Freund von Leitmayr (Udo Wachtveitl). Gemeinsam mit der Holländerin Frida (Ellen ten Damme) verbrachten sie einen aufregenden Sommer zu dritt am Strand des portugiesischen Fischerorts Nazaré. Kurz darauf brach Franz den Kontakt zu beiden wortlos ab. Als er jetzt, Jahrzehnte später, wieder auf Mikesch trifft, ist plötzlich die ganze Vergangenheit wieder nah. Batic (Miroslav Nemec) wundert sich über seinen Freund ebenso wie über den schrägen Vogel Mikesch, der statt mit der Polizei zu kooperieren aus dem Krankenhaus flüchtet. Mikesch hat ein Geschäft abzuwickeln, bei dem die Polizei stört... ",Andreas Kleinert,"Alex Buresch, Matthias Pacht",Johann Feindt ,118,793,1,2,1,8.85,26.1,409.0,207.0,42.0,8.0,"['Miroslav Nemec', 'Udo Wachtveitl', 'Robert Joseph Bartl', 'Genija Rykova', 'Giulia Goldammer', 'Jonathan Müller', 'Ferdinand Hofer', 'Klaus Stiglmeier', 'Luise Aschenbrenner', 'Andreas Lust', 'Sören Wunderlich', 'Justus Johanssen', 'Ellen Ten Damme', 'Michael Tregor', 'Lena Baader', nan, nan, nan, nan, nan]",2019,05,26,24
7,1095,2019-05-19,Lannert/Bootz,Anne und der Tod,Stuttgart,https://www.tatort-blog.de/folgen/tatort-stuttgart/anne-und-der-tod/,3.6,116.0,SWR,8,"Paul Fuchs war alt, bettlägerig, pflegebedürftig. Trotzdem war sein Tod nicht unmittelbar zu erwarten. Seine sorgfältig arbeitende Hausärztin hält eine Tötung für möglich und benachrichtigt die Polizei, die den Fall jedoch einstellt, weil es keinen Nachweis für ein bewusstes Weglassen von Medikamenten gibt. Auch Christian Hinderer war alt, bettlägerig, pflegebedürftig. Als er am Fuß einer Treppe tot gefunden wird, beschuldigt seine Witwe Gundula die Altenpflegerin Anne Werner, ihn hinuntergestoßen zu haben. Wieder werden Thorsten Lannert und Sebastian Bootz gerufen. Wieder lässt sich kein Nachweis finden. Diesmal aber stellen sie die Ermittlungen nicht ein, denn: Auch Paul Fuchs war ein Patient Anne Werners. Es ist also schon der zweite zweifelhafte Tod unter den Patienten des mobilen Pflegedienstes innerhalb kurzer Zeit. Doch wen die Ermittler auch befragen, von Gundula Hinderer abgesehen sind alle voll des Lobs für Anne Werner. Sie sei freundlich, kompetent und einschränkungslos korrekt, und das in einem Beruf, dessen Bedingungen alles andere als einfach sind. Anne Werner selbst streitet den Verdacht ruhig, aber nachdrücklich ab. Trotzdem: Thorsten Lannert und Sebastian Bootz durchleuchten das gesamte Leben der Altenpflegerin, befragen sie immer wieder, lassen nicht locker. Keinesfalls wollen sie ein zweites Mal zu früh aufgeben ... ",Jens Wischnewski,Wolfgang Stauch,Stefan Sommer ,196,1357,1,1,1,8.81,26.9,367.0,165.0,28.0,,"['Richy Müller', 'Felix Klare', 'Felix Eitner', 'Marie Anne Fliegel', 'Julischka Eichel', 'Carolina Vera', 'Katharina-Marie Schubert', 'Jürgen Hartmann', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",2019,05,19,36
8,1094,2019-12-05,Brix/Janneke,Das Monster von Kassel,Frankfurt,https://www.tatort-blog.de/folgen/tatort-frankfurt/das-monster-von-kassel/,3.4,50.0,HR,15,"Anna Janneke (Margarita Broich) und Paul Brix (Wolfram Koch), Hauptkommissare in Frankfurt, werden zu einem grausigen Fund gerufen: in Plastiksäcke gehüllte Leichenteile. Rasch stellt sich heraus, dass das Opfer aus Kassel stammt. Es ist der 17-jährige Luke Rohde, Stiefsohn des Sonnyboys der Nation, des beliebten Fernsehtalkmasters Maarten Jansen (Barry Atsma). Mit seiner Ehefrau Kirsten (Stephanie Eidt) und ihren beiden Söhnen aus erster Ehe hat Jansen bis dahin ein idyllisches Familienleben geführt. Janneke und Brix rätseln, wieso gerade Luke zum Opfer wurde. Um sich nach dem Stand der Ermittlungen zu erkundigen, kommt Maarten Jansen auf das Kasseler Polizeipräsidium. Doch im Gespräch mit Anna Janneke tauchen mehr und mehr Widersprüche auf. Die beiden Frankfurter Kommissare begreifen, dass nur Maarten der Mörder seines Stiefsohns sein kann. Es beginnt ein zermürbendes Verhör. ",Umut Dag,"Stephan Brüggenthies, Andrea Heller",Carol Burandt von Kameke ,129,891,1,2,1,9.28,27.7,329.0,127.0,25.0,7.0,"['Wolfram Koch', 'Margarita Broich', 'Zazie de Paris', 'Isaak Dentler', 'Michael Benthin', 'Helmut Reitze', 'Barbara Stollhans', 'Michael Stange', 'Sofie Eifertinger', 'Barry Atsma', 'Bruno Cathomas', 'Christina Große', 'Stephanie Eidt', 'Justus Johanssen', 'Anabel Möbius', nan, nan, nan, nan, nan]",2019,12,05,34
9,1093,2019-05-05,Karow/Rubin,Der gute Weg,Berlin,https://www.tatort-blog.de/folgen/tatort-berlin/der-gute-weg/,3.6,79.0,RBB,7,"Nächtlicher Streifendienst in der Großstadt. ""Ruhestörung"", ein Routineeinsatz im Kiez - aber ganz offensichtlich stechen die Streifenkollegen dabei in ein Drogennest. Ein mutmaßlicher Dealer eröffnet jäh das Feuer. Die junge Streifenpolizistin Sandra (Anna Herrmann) stirbt im Kugelhagel, ein zweiter Uniformierter, der kurz vor seiner Pensionierung stehende Harald Stracke (Peter Trabner), wird angeschossen. Ein Dritter kommt mit dem Schrecken davon, weil er als einziger eine Schutzweste trägt: Tolja Rubin (Jonas Hämmerle). Der Sohn der Kommissarin absolviert sein Praktikum im Streifendienst. Azubi Tolja verheddert sich schon bei der ersten Vernehmung in Widersprüche. Was ist in dieser Nacht am Tatort wirklich geschehen? Ging es um Drogen - oder um viel mehr? Dann gibt es einen zweiten Toten und Zug um Zug kommen Nina Rubin und ihr Kollege Karow einer entsetzlichen Wahrheit auf die Spur ... ",Christian von Castelberg,Christoph Darnstädt,Björn Knechtel ,133,903,1,1,1,9.41,26.8,372.0,170.0,24.0,8.0,"['Meret Becker', 'Mark Waschke', 'Rauand Taleb', 'Carolyn Genzkow', 'Nina Vorbrodt', 'Peter Trabner', 'Jonas Hämmerle', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",2019,05,05,36
